Series ID,Year,Period,Label,Value
CWUR0000SA0,1978,M08,1978 Aug,66.4
CWUR0000SA0,1978,M09,1978 Sep,66.8
CWUR0000SA0,1978,M10,1978 Oct,67.4
CWUR0000SA0,1978,M11,1978 Nov,67.7
CWUR0000SA0,1978,M12,1978 Dec,68.1
CWUR0000SA0,1979,M01,1979 Jan,68.7
CWUR0000SA0,1979,M02,1979 Feb,69.5
CWUR0000SA0,1979,M03,1979 Mar,70.3
CWUR0000SA0,1979,M04,1979 Apr,71.1
CWUR0000SA0,1979,M05,1979 May,71.9
CWUR0000SA0,1979,M06,1979 Jun,72.8
CWUR0000SA0,1979,M07,1979 Jul,73.7
CWUR0000SA0,1979,M08,1979 Aug,74.4
CWUR0000SA0,1979,M09,1979 Sep,75.1
CWUR0000SA0,1979,M10,1979 Oct,75.7
CWUR0000SA0,1979,M11,1979 Nov,76.4
CWUR0000SA0,1979,M12,1979 Dec,77.2
CWUR0000SA0,1980,M01,1980 Jan,78.3
CWUR0000SA0,1980,M02,1980 Feb,79.4
CWUR0000SA0,1980,M03,1980 Mar,80.5
CWUR0000SA0,1980,M04,1980 Apr,81.4
CWUR0000SA0,1980,M05,1980 May,82.3
CWUR0000SA0,1980,M06,1980 Jun,83.2
CWUR0000SA0,1980,M07,1980 Jul,83.3
CWUR0000SA0,1980,M08,1980 Aug,83.8
CWUR0000SA0,1980,M09,1980 Sep,84.6
CWUR0000SA0,1980,M10,1980 Oct,85.3
CWUR0000SA0,1980,M11,1980 Nov,86.1
CWUR0000SA0,1980,M12,1980 Dec,86.9
CWUR0000SA0,1981,M01,1981 Jan,87.5
CWUR0000SA0,1981,M02,1981 Feb,88.5
CWUR0000SA0,1981,M03,1981 Mar,89.0
CWUR0000SA0,1981,M04,1981 Apr,89.6
CWUR0000SA0,1981,M05,1981 May,90.3
CWUR0000SA0,1981,M06,1981 Jun,91.1
CWUR0000SA0,1981,M07,1981 Jul,92.2
CWUR0000SA0,1981,M08,1981 Aug,92.8
CWUR0000SA0,1981,M09,1981 Sep,93.7
CWUR0000SA0,1981,M10,1981 Oct,93.9
CWUR0000SA0,1981,M11,1981 Nov,94.1
CWUR0000SA0,1981,M12,1981 Dec,94.4
CWUR0000SA0,1982,M01,1982 Jan,94.7
CWUR0000SA0,1982,M02,1982 Feb,95.0
CWUR0000SA0,1982,M03,1982 Mar,94.8
CWUR0000SA0,1982,M04,1982 Apr,95.2
CWUR0000SA0,1982,M05,1982 May,96.2
CWUR0000SA0,1982,M06,1982 Jun,97.4
CWUR0000SA0,1982,M07,1982 Jul,98.0
CWUR0000SA0,1982,M08,1982 Aug,98.2
CWUR0000SA0,1982,M09,1982 Sep,98.3
CWUR0000SA0,1982,M10,1982 Oct,98.6
CWUR0000SA0,1982,M11,1982 Nov,98.4
CWUR0000SA0,1982,M12,1982 Dec,98.0
CWUR0000SA0,1983,M01,1983 Jan,98.1
CWUR0000SA0,1983,M02,1983 Feb,98.1
CWUR0000SA0,1983,M03,1983 Mar,98.4
CWUR0000SA0,1983,M04,1983 Apr,99.0
CWUR0000SA0,1983,M05,1983 May,99.5
CWUR0000SA0,1983,M06,1983 Jun,99.8
CWUR0000SA0,1983,M07,1983 Jul,100.1
CWUR0000SA0,1983,M08,1983 Aug,100.5
CWUR0000SA0,1983,M09,1983 Sep,101.0
CWUR0000SA0,1983,M10,1983 Oct,101.2
CWUR0000SA0,1983,M11,1983 Nov,101.2
CWUR0000SA0,1983,M12,1983 Dec,101.2
CWUR0000SA0,1984,M01,1984 Jan,101.6
CWUR0000SA0,1984,M02,1984 Feb,101.8
CWUR0000SA0,1984,M03,1984 Mar,101.8
CWUR0000SA0,1984,M04,1984 Apr,102.1
CWUR0000SA0,1984,M05,1984 May,102.5
CWUR0000SA0,1984,M06,1984 Jun,102.8
CWUR0000SA0,1984,M07,1984 Jul,103.2
CWUR0000SA0,1984,M08,1984 Aug,104.2
CWUR0000SA0,1984,M09,1984 Sep,104.8
CWUR0000SA0,1984,M10,1984 Oct,104.8
CWUR0000SA0,1984,M11,1984 Nov,104.7
CWUR0000SA0,1984,M12,1984 Dec,104.8
CWUR0000SA0,1985,M01,1985 Jan,104.9
CWUR0000SA0,1985,M02,1985 Feb,105.4
CWUR0000SA0,1985,M03,1985 Mar,105.9
CWUR0000SA0,1985,M04,1985 Apr,106.3
CWUR0000SA0,1985,M05,1985 May,106.7
CWUR0000SA0,1985,M06,1985 Jun,107.0
CWUR0000SA0,1985,M07,1985 Jul,107.1
CWUR0000SA0,1985,M08,1985 Aug,107.3
CWUR0000SA0,1985,M09,1985 Sep,107.6
CWUR0000SA0,1985,M10,1985 Oct,107.9
CWUR0000SA0,1985,M11,1985 Nov,108.3
CWUR0000SA0,1985,M12,1985 Dec,108.6
CWUR0000SA0,1986,M01,1986 Jan,108.9
CWUR0000SA0,1986,M02,1986 Feb,108.5
CWUR0000SA0,1986,M03,1986 Mar,107.9
CWUR0000SA0,1986,M04,1986 Apr,107.6
CWUR0000SA0,1986,M05,1986 May,107.9
CWUR0000SA0,1986,M06,1986 Jun,108.4
CWUR0000SA0,1986,M07,1986 Jul,108.4
CWUR0000SA0,1986,M08,1986 Aug,108.6
